stand,year,month,day,quad,TEMP
BP,1982,8,NA,6A,0
BP,1982,8,NA,6C,0
BP,1982,8,NA,6E,0
BP,1982,8,NA,6G,0
BP,1982,8,NA,6I,0
BP,1982,8,NA,8A,0
BP,1982,8,NA,8C,0
BP,1982,8,NA,8E,0
BP,1982,8,NA,8G,0
BP,1982,8,NA,8I,0
TT,1982,8,NA,0A,60
TT,1982,8,NA,0C,57
TT,1982,8,NA,0E,60
TT,1982,8,NA,0E,57
TT,1982,8,NA,0I,59
TT,1982,8,NA,2A,59
TT,1982,8,NA,2C,58
TT,1982,8,NA,2E,61
TT,1982,8,NA,2G,60
TT,1982,8,NA,2I,57
TT,1982,8,NA,4A,57
TT,1982,8,NA,4C,61
TT,1982,8,NA,4E,0
TT,1982,8,NA,4G,0
TT,1982,8,NA,4I,0
TT,1982,8,NA,6A,0
TT,1982,8,NA,6C,0
TT,1982,8,NA,6E,0
TT,1982,8,NA,6G,0
TT,1982,8,NA,6I,0
TT,1982,8,NA,8A,0
TT,1982,8,NA,8C,0
TT,1982,8,NA,8E,0
TT,1982,8,NA,8G,0
TT,1982,8,NA,8I,0
BH,1983,8,8,0A,0
BH,1983,8,8,0C,0
BH,1983,8,8,0E,0
BH,1983,8,8,0G,0
BH,1983,8,8,0I,0
BH,1983,8,8,2A,0
BH,1983,8,8,2C,0
BH,1983,8,8,2E,0
BH,1983,8,8,2G,0
BH,1983,8,8,2I,0
BH,1983,8,8,4A,0
BH,1983,8,8,4C,0
BH,1983,8,8,4E,0
BH,1983,8,8,4G,0
